id,name,regular_price,promo_price
3338458,"Мольберт-тренога напольный металлический Brauberg Art, телескопический, с чехлом, 192576",2115.0,1001.0
1931965,"Мольберт-тренога металлический переносной, телескопический 93х160х83см, Brauberg Art",2152.0,1364.0
2402416,Мольберт для рисования напольный классический Лира,2000.0,1300.0
2137518,"Мольберт металлический настольный, переносной, телескопический, 58 см",1900.0,590.13
2156334,"Настольный мольберт Малевичъ, МЛ-14",4723.0,1902.0
2535285,"Мольберт для рисования напольный Brauberg, усиленный, тренога, переносной, 98x180x91 см",3287.0,2325.0
2129762,Мольберт телескопический с чехлом,1999.0,1049.0
1851049,"Этюдник-мольберт для рисования Art Premiere, деревянный, холст до 82 см",16483.0,7110.0
2801726,Доска знаний-мольберт Nika М2/С2 (Blue),5990.0,2090.0
2573218,Мольберт для рисования настольный 20 сантиметров,1000.0,199.0
2171508,"Мольберт-планшет для рисования настольный из липы А3, 38х45х36 см, Brauberg, 192338",1229.0,850.0
2234592,"Мольберт для рисования напольный деревянный из сосны, холст до 120 см, Brauberg 192260",4729.0,2436.0
2438110,Мольберт художественный настольный для рисования 55 см,1030.0,510.0
2360838,"Мольберт настольный, из бука, 18 х 23 см, высота холста до 25 см",390.0,275.0
2438095,Мольберт настольный художественный для рисования тренога 41 см,880.0,310.0
2825759,Мольберт 12 см и мини-холст 7х7 см,326.0,184.45
1959365,Настольный этюдный ящик МЛ-HS,4680.0,1917.0
1851056,"Мольберт настольный деревянный Art Classic, регулируемый верхний держатель, 50х 37 х 39 см",5700.0,2280.0
2171038,"Мольберт-планшет для рисования настольный из липы А2, 42х60х36 см, Brauberg, 192339",1766.0,1021.0
2801748,Мольберт Ника Растущий М2Л/О2 двусторонний (Orange),5990.0,2082.0
